State;Up;Down;Left;Right;Stay
-1|0|1|1001|0|-1;-476.3173;-90.66354;-347.3601;-273.487;-434.3186
0|-1|2|0010|0|1;119.4385;62.28954;-99.59465;158.5987;-82.66499
-1|-1|1|0001|0|-1;-519.9629;-798.2028;-511.1062;-847.1827;-520.7241
-1|1|2|1001|0|-1;-79.53246;108.5354;111.8899;-100.6489;-93.43621
-1|1|2|0101|-1|0;28.58603;-206.6248;-48.28718;-222.2571;-231.1104
-1|1|1|0101|-1|0;-388.8459;-397.8122;-389.1223;-394.4172;-396.9406
-1|-1|0|1000|1|0;-756.9274;-1548.181;-2197.89;-754.2896;-756.1276
1|0|1|0010|0|-1;-375.0079;-64.4113;-308.5099;-719.9644;-414.5397
1|-1|1|1010|0|-1;-988.8022;-656.5549;-827.2335;-801.314;-880.7027
1|-1|2|0101|-1|0;138.8057;-85.54359;33.74071;-108.5493;-116.4293
1|-1|2|0001|-1|0;143.3506;-15.91683;145.0002;-105.4339;-107.9807
1|-1|2|0000|-1|0;126.1379;79.76183;151.2081;52.70369;-84.4863
1|1|0|0000|-1|0;-1981.372;-668.434;-668.2209;-3344.103;-667.1128
-1|1|0|0101|0|1;-4215.448;-1024.675;-2133.61;-1009.009;-1061.288
0|1|0|0101|0|1;-3670.378;-2470.962;-875.4156;-2293.834;-1863.887
0|-1|1|0010|0|-1;-122.5387;-153.3989;-564.0477;-109.5681;-323.2773
0|1|1|1000|-1|0;-60;4.5;25.01665;68.29694;-42.37685
0|1|1|0100|-1|0;-70.8495;-139.0153;17.81032;46.64515;-37.0131
-1|0|1|0101|-1|0;-22.3758;-131.4;-229.4452;-97.51476;-102
-1|0|0|0101|-1|0;-842.3978;-4177.715;-4018.747;-2112.931;-2540.629
1|1|0|0011|0|1;-2290.629;-857.415;-857.9972;-904.0417;-913.5034
1|1|2|0101|0|1;85.25879;-46.75437;126.6676;-52.8848;-75.52537
0|1|2|1001|0|-1;-19.2122;55.58298;0;0;-88
-1|-1|1|0000|-1|0;31.56273;-185.6783;-179.4548;-16.37158;-186.4206
-1|0|1|0100|-1|0;33.10773;-223.6704;-231.0415;43.9307;-186.3462
-1|-1|0|0000|-1|0;-545.0748;-2196.498;-1447.27;-543.9979;-549.1404
1|1|0|0000|1|0;-4595.362;-867.3351;-867.4023;-3200.839;-868.1893
1|-1|2|0011|0|1;147.9892;71.59862;-131.9241;-81.98608;-76.43977
1|-1|2|0100|-1|0;153.6543;-79.07853;149.7573;99.83963;-66.79443
0|-1|2|1000|1|0;-58.13681;0;15.80801;95.36652;0
-1|1|2|0110|0|1;56.13897;-125.4598;-138.8718;89.25205;-99.41367
0|1|1|0110|0|1;-716.1781;-363.376;-544.8998;-183.1261;-396.4113
0|1|1|0000|-1|0;0;90.53455;46.59794;20.56733;-59.66154
-1|0|2|0101|0|1;113.4666;-154.0167;30.56738;-10.92311;-175.8667
0|1|0|0011|0|1;-4096.832;-875.8835;-2127.26;-3848.406;-2322.686
0|-1|2|0000|-1|0;0;0;0;6;-50.09041
0|1|1|0000|1|0;-2.456215;110.0539;95.71709;108.2751;-113.0708
1|0|1|0001|0|-1;0;4.5;84.12399;-12.20895;-67.88583
0|1|0|1000|-1|0;-131.4;65.65582;-27;-178.2121;-60
-1|1|0|1000|-1|0;-43.38458;-105.1354;-89.38263;-201.4979;-40.10369
1|1|0|0101|-1|0;-155.0108;-84.81698;-150.824;-120.0537;-206.8484
0|1|0|0101|-1|0;-4692.583;-2698.369;-852.7479;-3411.33;-2776.507
1|-1|0|0011|0|1;-856.0098;-3029.771;-856.0344;-855.8369;-912.464
1|0|1|1000|1|0;-605.7228;86.8004;74.33687;-624.798;-161.7339
0|-1|1|0100|1|0;49.19532;-57.60645;66.93817;36.56385;-67.68417
0|-1|0|0000|-1|0;-843.1987;-4430.946;-842.9773;-842.8818;-4201.684
-1|-1|2|0101|-1|0;119.1062;-124.325;61.2415;-113.0949;-120.3949
-1|0|2|0100|-1|0;81.07117;-20.16586;24.72591;20.40504;-52.008
-1|-1|2|0001|-1|0;115.7567;64.759;9.420542;-99.76246;-93.80031
-1|1|0|0101|-1|0;-1403.767;-519.0626;-1146.651;-517.0264;-516.6641
1|1|1|0101|-1|0;-115.2893;-168.328;42.4615;-153.382;0
0|1|2|0100|1|0;67.3828;0;134.0892;109.8289;-39.37111
0|1|2|0000|0|-1;32.01023;148.0532;107.2286;140.8121;-92.83466
0|1|0|0000|-1|0;-3893.479;-822.7408;-822.4211;-822.2603;-3857.806
0|0|0|0011|0|1;-500;0;0;0;0
-1|0|1|0000|-1|0;-50.92282;68.10976;-488.5974;47.76709;-221.5835
1|0|1|0001|-1|0;4.5;0;11.89818;-40.3903;0
1|-1|1|0101|-1|0;64.53426;-88;0;-60;-102
1|0|0|0101|-1|0;-19.47701;0;-27;0;0
0|1|0|0001|-1|0;-4738.402;-810.0972;-809.6968;-4373.498;-3856.928
0|0|0|0101|-1|0;0;0;0;0;0
1|-1|0|0100|-1|0;-268.6981;-274.3639;-261.4995;-2378.431;-280.2757
-1|-1|0|0100|-1|0;-44.47035;-90.99939;-31.12325;-165.549;-31.27119
0|1|1|1000|0|-1;-104.8661;112.9966;112.9751;71.33487;-130.3432
-1|-1|1|1000|-1|0;-274.496;-185.2255;-110.7948;-67.9958;-419.4122
1|0|0|1000|-1|0;-3809.572;-830.7795;-830.9729;-5502.867;-4675.939
1|0|1|0100|-1|0;35.87801;-57.96059;78.50195;-161.2426;-49.11525
-1|0|0|0010|0|1;58.70382;5.839883;-70.47415;14.70645;-60
-1|-1|0|0101|-1|0;33.08555;0;-27;0;-57.46187
0|1|0|1001|0|-1;-107.942;65.94834;-20.10191;-82.50256;-96.34805
0|1|0|1100|1|0;-60;-60;-52.72554;-74.4458;-72
1|1|0|1100|1|0;-60;-62.99284;-282.6776;-65.14989;0
1|-1|0|0000|-1|0;-826.918;-1899.657;-796.4031;-1695.516;-796.8384
-1|1|2|0010|0|-1;116.0793;150.7328;-63.5445;158.2103;-53.29555
1|1|0|1001|0|-1;-102;95.65123;0;-98.4033;0
-1|1|0|1001|0|-1;-24.81206;85.635;-48.70549;-53.59151;-54.50415
-1|1|1|1100|1|0;-102;-60;-29.67623;80.01988;-102
-1|0|1|0010|0|1;59.85368;73.84091;-55.19402;66.5108;-63.73461
0|1|2|0000|1|0;123.5864;93.81973;59.00906;151.9507;-38.69593
1|0|2|0110|0|1;128.1052;-93.98837;-87.70934;97.66257;-80.92588
0|1|2|0001|0|1;3.987787;154.967;168.7047;-73.6043;-65.47296
0|-1|0|0001|-1|0;-849.8502;-3640.774;-849.5854;-4295.867;-3548.48
1|-1|1|0001|-1|0;75.16424;-96.9;108.7141;-48.0808;-152.935
1|-1|0|0101|-1|0;0;0;-27;0;0
1|0|2|0000|1|0;51.85287;148.0353;46.0374;27.45135;0
0|-1|2|0100|1|0;13.33937;0;34.80725;0;0
1|-1|2|1100|1|0;-59.6955;-56.54151;142.683;16.99478;-65.21252
1|0|1|1000|-1|0;-56.09065;44.94185;24.27179;7.478092;-60
-1|-1|1|0101|-1|0;20.75047;-153.5818;0;-159.0295;-136.9726
-1|-1|0|0001|-1|0;-541.8375;-1045.6;-1258.296;-545.9988;-544.3429
-1|-1|0|1100|1|0;-399.7138;-414.2095;-1545.003;-409.3175;-433.5707
-1|1|0|0010|0|-1;-1481.996;-639.2345;-639.4894;-639.7279;-640.9339
-1|0|1|1000|-1|0;-183.0678;-4.231249;-2.589153;14.40486;-53.49598
1|-1|0|0001|0|1;-783.9276;-2380.57;-791.5237;-781.8695;-779.881
-1|0|1|0100|1|0;34.39954;-73.30058;-172.2388;61.22647;-226.9211
1|0|2|1100|1|0;-80.25587;-79.38571;156.1738;16.28887;-44.44332
-1|-1|0|0110|0|1;40.14464;-60;-60;-68.22529;0
-1|0|2|0010|0|-1;130.6991;135.2658;-46.95024;79.2214;-36.9392
1|0|0|0001|0|-1;-27;0;40.15885;0;0
1|0|0|1001|0|-1;-60;0;38.59675;-54.48852;-102
0|1|1|1001|0|-1;0;0;75.95704;0;-88.27382
1|0|1|1010|0|-1;-346.7297;-71.25328;-320.7468;-288.1694;-215.6488
0|1|1|0101|0|1;-467.4538;-751.8253;-170.0726;-373.9201;-429.7054
-1|-1|0|1000|-1|0;-799.8957;-1108.906;-1698.129;-697.9517;-700.2703
-1|0|1|0110|0|1;0;-60;0;0;0
-1|0|0|0110|0|1;0;0;-49.16095;-82.9709;0
-1|-1|1|0110|0|1;0;-102;0;71.67249;-95.82248
-1|0|1|0010|0|-1;90.93321;101.8892;-38.90179;73.15408;-70.82298
1|0|2|0001|0|-1;0;0;48.18217;-60;0
1|0|1|0100|1|0;48.46629;-105.9792;90.34835;29.70214;-102.7961
1|0|1|1100|1|0;0;-122.0515;86.38437;-124.1553;-68.01677
1|-1|0|0110|0|1;75.72341;0;-48.44167;0;0
1|-1|0|0001|-1|0;-632.8419;-1993.755;-426.0288;-425.8083;-425.4106
0|-1|2|1100|1|0;-64.52477;-24.59344;103.4892;0;-24.59344
-1|1|1|0110|0|1;-40.16036;-179.3489;-100.6441;-44.09862;-60
0|-1|2|0101|-1|0;12.6699;-58.38;0;0;-17.41128
1|1|2|0101|-1|0;16.82106;0;43.77832;-60;-54.32521
0|1|2|0001|0|-1;4.116235;0;82.97044;-33.08844;-16.34799
0|1|2|0000|-1|0;52.93344;69.18508;143.2671;19.58996;-38.02362
0|-1|1|0000|-1|0;68.11478;14.05724;96.98065;44.9718;-100.1353
0|-1|2|0001|0|-1;55.98935;25.02237;108.7469;-48.82932;-83.82997
1|1|0|1000|-1|0;-197.2886;-185.6333;-183.64;-3199.974;-194.9243
0|-1|0|0011|0|1;-877.0985;-4021.946;-3090.555;-2765.703;-1928.517
0|1|1|0101|-1|0;3.668935;0;59.84767;0;0
1|-1|0|1000|-1|0;-770.8727;-3420.505;-771.5167;-3097.66;-771.4348
1|-1|0|0001|0|-1;-565.2414;-1347.998;-562.1886;-564.7511;-563.8584
1|0|2|0011|0|1;106.3557;37.94089;-98.86288;-25.24672;0
1|-1|2|0110|0|1;117.3522;-55.75446;-55.03147;104.666;-40.26683
0|1|2|0100|-1|0;-14.20988;-54.76255;59.88112;0;0
-1|1|0|1100|1|0;-470.2525;-471.4685;-1000;-468.1486;-469.6761
1|0|0|0001|0|1;-18;-18;0;-51.62889;0
-1|0|2|0001|-1|0;40.6283;25.03;9.200591;-34.4291;-60
-1|0|2|0101|-1|0;71.58591;-102.7819;29.32056;-89.09497;-60
-1|0|2|0000|-1|0;0;36.17764;69.89654;31.05391;-10.33457
0|1|2|0101|0|1;33.82188;-108.1094;119.6587;-128.254;-72.90491
1|0|2|1000|1|0;-42.44278;94.11372;54.70602;0;-27.76774
1|1|0|0001|0|-1;-849.7601;-222.6249;-228.2576;-227.4276;-223.7957
0|-1|1|0101|-1|0;4.5;-60;0;0;0
0|-1|1|0001|-1|0;18.17592;0;0;0;0
0|1|1|0001|-1|0;-42.14717;10.17597;82.26846;0;0
0|-1|2|0001|-1|0;0;62.02111;0;-54.68055;-25.19387
1|-1|2|0101|0|1;35.63325;-60;0;0;0
1|-1|1|0101|0|1;82.92109;-32.10775;0;-131.4;-107.39
0|-1|1|0101|0|1;0;0;62.84008;0;0
1|0|2|1010|0|-1;-92.40743;130.5085;-81.49075;60.66388;-58.46737
0|-1|0|0110|0|1;0;-49.3717;0;0;0
0|-1|0|0101|-1|0;0;0;0;0;-55.62195
1|-1|0|0101|0|1;26.10147;-73.79005;0;0;0
0|-1|0|0101|0|1;0;0;0;0;-102
-1|-1|0|0101|0|1;0;0;0;-41.72648;0
0|-1|1|1000|-1|0;-71.59106;0;23.36942;-60.83644;0
0|-1|2|0100|-1|0;0;0;0;0;-23.71759
-1|0|0|0010|0|-1;-83.84829;0;0;-162.6615;0
-1|-1|2|0110|0|1;125.5816;-20.33233;0;0;0
0|1|1|1100|1|0;0;0;0;0;-60
0|1|2|0001|-1|0;59.55994;92.14087;0;-29.75013;-8.737072
1|0|2|0001|0|1;56.76114;0;0;0;0
0|-1|1|0011|0|1;17.75369;-6.313318;-92.09178;0;-16.99296
1|0|1|0101|-1|0;0;0;11.1008;0;0
1|0|1|1001|0|-1;0;42.76077;0;0;0
1|0|1|0011|0|1;0;0;0;-12.25284;0
0|1|1|0011|0|1;-298.7612;17.0294;0;-219.0139;-327.0009
1|0|2|1001|0|-1;-40;36.71016;0;0;-40
1|0|0|0101|0|1;-93.64049;-8.956062;0;-40;0
0|-1|1|0110|0|1;17.32639;0;0;0;0
1|0|2|0100|1|0;36.85096;0;0;0;0
-1|-1|0|0010|0|-1;0;0;0;-14.71814;0
0|-1|1|1100|1|0;0;0;0;-12.05245;0
0|1|2|1000|-1|0;-6.350774;0;0;0;0
0|-1|2|0011|0|1;85.37148;0;0;0;0
