State;Up;Down;Left;Right;Stay
-1|1|2|0000|0|1;139.8327;150.6894;70.40481;141.2885;-85.35401
-1|1|2|0010|0|1;113.7699;161.2259;-110.4558;144.4588;-61.3618
-1|1|2|0100|1|0;0.9015837;-97.18871;22.47608;127.9487;-124.0193
0|1|2|1000|1|0;-96.85455;107.2136;32.40617;56.84247;-51.07219
1|1|2|0001|-1|0;105.9681;140.2271;171.7839;-48.03487;-95.67304
1|1|1|1001|0|-1;-141.2118;50.79171;79.65422;-141.7372;-136.4797
1|1|1|0001|-1|0;25.953;87.8929;97.85316;-114.3868;-217.1699
1|1|1|0000|1|0;-520.6926;-197.5073;79.77137;-800.6788;-214.3212
1|1|1|0000|-1|0;-269.8658;81.22215;88.34055;-156.7922;-159.9715
1|-1|1|0000|-1|0;-24.64605;-654.7338;110.2073;-582.6975;-179.7308
0|-1|0|1001|0|-1;-4774.863;-4735.826;-882.4122;-4669.365;-2071.683
0|0|0|1001|0|-1;0;0;0;0;0
-1|1|2|0000|-1|0;123.5857;159.3344;124.373;118.9488;-96.35582
-1|1|1|0000|-1|0;-300.1619;104.1377;-363.2156;-10.11203;-147.8837
1|1|1|0000|0|1;-264.162;-6.615743;4.741189;-354.7394;-332.8527
-1|1|0|0000|1|0;-3901.427;-859.4462;-4263.222;-804.025;-929.6626
-1|0|1|0000|0|-1;-173.0338;48.27922;-857.8879;34.39686;-300.4942
1|1|2|0100|0|1;118.5002;-81.5388;137.4512;122.4738;-57.21185
1|0|2|0000|0|1;163.7191;163.8995;163.7673;40.58398;-75.81216
1|0|1|0000|0|1;42.55013;20.04435;21.57497;-872.6052;-759.2802
1|0|0|0000|0|1;-882.8743;-883.1641;-883.1637;-6764.935;-7225.545
1|1|2|1000|0|-1;-111.7843;174.582;174.2692;141.7498;-51.95959
1|1|1|0010|0|1;-720.8216;-133.3413;-841.221;-145.3046;-415.8983
1|1|1|0011|0|1;-450.1747;-50.19978;-272.9126;-621.2195;-422.1311
1|0|0|0010|0|1;-886.6548;-886.6289;-4089.683;-7209.889;-4045.815
0|-1|0|0010|0|1;-884.8165;-5012.594;-1703.639;-884.6827;-2076.51
0|0|0|0010|0|1;-635;-500;-1000;-1444.6;0
1|0|1|0000|0|-1;-106.1359;45.33894;20.70663;-394.9776;-409.1724
1|-1|0|0000|0|-1;-878.6219;-2452.607;-878.7143;-3879.297;-878.7193
-1|1|2|1100|1|0;-73.30198;-31.41294;25.37577;157.3639;-33.46717
-1|1|1|0010|0|-1;-243.5654;57.5857;-187.2235;50.17187;-165.2229
-1|1|0|0000|0|1;-2502.888;-875.953;-4347.471;-872.817;-963.7718
1|-1|1|0000|1|0;94.96219;-212.8852;104.9913;-175.4621;-159.3761
-1|-1|2|1100|1|0;-137.2043;-124.7719;71.80453;66.79323;-131.2953
-1|-1|2|1000|1|0;-96.57307;44.60929;80.55251;104.6688;-90.0659
-1|-1|2|1000|0|-1;-106.1036;-19.09872;64.59967;92.42045;-111.855
-1|-1|1|1100|1|0;-168.4795;-153.363;-99.3962;-33.01413;-190.5634
-1|-1|1|0001|-1|0;-352.4137;-195.2639;-146.3196;-197.5961;-261.6734
-1|-1|1|1000|1|0;-507.7455;-22.41152;-244.5841;-11.03942;-147.0004
-1|0|1|0001|-1|0;-173.6337;-26.07813;-393.3097;-225.4881;-362.4245
-1|0|0|0000|-1|0;-843.6662;-843.8774;-2471.922;-843.7462;-4324.705
-1|0|0|0001|-1|0;-855.8232;-855.5873;-4632.237;-3775.465;-4003.389
0|-1|0|1000|1|0;-4996.014;-4998.08;-869.7477;-866.0492;-2732.517
0|0|0|0001|-1|0;0;0;0;0;0
1|-1|2|0100|1|0;142.1775;-62.45624;138.0323;76.28371;-65.86106
1|-1|2|1000|1|0;-96.20305;112.6854;123.9462;48.65693;-94.76685
1|-1|2|0001|0|1;133.8288;106.3155;140.9752;-116.4863;-78.1537
-1|-1|1|0100|1|0;53.81475;-226.2919;-3.838066;56.31803;-177.1192
0|-1|0|0100|1|0;44.39634;-377.626;-116.503;25.9197;-135.8356
1|-1|0|0100|0|1;-589.8062;-832.5964;-688.2061;-2745.619;-699.2115
1|-1|1|0110|0|1;43.36592;-160.3672;-128.9201;31.0083;-135.0432
1|0|1|0110|0|1;13.81231;-301.7707;-442.5955;-600.2378;-403.2076
1|0|0|0110|0|1;-886.3068;-4100.759;-4250.095;-5038.149;-3651.653
1|-1|0|0010|0|1;-886.4622;-2686.527;-966.1128;-5892.521;-972.8308
0|0|0|0110|0|1;-50;0;0;0;0
-1|-1|2|0000|0|-1;102.1898;101.8605;100.6007;101.8254;-75.06876
-1|-1|2|0001|0|-1;-6.397612;34.72222;42.14138;-124.8801;-152.571
-1|-1|2|1001|0|-1;-241.0724;-24.72801;-95.8596;-247.5007;-244.8258
-1|0|2|1001|0|-1;-130.1063;101.0808;53.31589;-114.7141;-126.2273
-1|0|2|0001|0|-1;87.16151;111.7079;84.79252;-131.1612;-145.1841
-1|0|2|0000|0|-1;115.3461;156.9007;115.89;135.3224;-87.76062
-1|0|2|0000|0|1;158.7841;147.8486;91.84252;120.7162;-86.90938
-1|0|2|0100|0|1;159.5797;-79.50243;56.57101;135.0971;-100.5589
-1|-1|2|0000|0|1;150.5152;150.578;64.38492;152.4633;-59.10748
1|-1|2|0000|0|-1;107.3606;107.3039;112.1318;106.8605;-80.05583
-1|-1|2|0000|1|0;155.1584;146.8152;152.7697;160.971;-45.99947
1|-1|2|0001|0|-1;151.8005;19.90437;118.2688;-95.93911;-85.93279
1|-1|1|0000|0|-1;-19.26227;-625.132;-19.74227;-757.5272;-647.3706
1|-1|0|0000|0|1;-856.9263;-1473.425;-874.1459;-1890.86;-972.9128
1|1|0|0001|-1|0;-2824.665;-538.2131;-536.1897;-536.8796;-537.6123
1|0|0|0001|-1|0;-56.046;-113.9818;54.81652;0;-178.9962
1|-1|1|1001|0|-1;-91.63764;-44.24738;-56.82901;-170.7147;-161.3327
1|-1|0|1001|0|-1;-175.5441;-166.1865;-148.8356;-150.7081;-217.8298
-1|1|2|1000|1|0;-79.72467;124.1497;82.50812;151.9935;-77.58202
-1|1|2|0000|1|0;92.55366;146.8764;95.91241;165.941;-67.37336
-1|0|1|0000|0|1;36.7022;-59.54746;-924.5934;33.22509;-414.077
-1|-1|0|0010|0|1;-824.7044;-5182.155;-824.0901;-843.1586;-824.2689
